,station,year_season_ext,year_season,season,tav,tmax,tmin,rad,x,y
60,4,O.2012,1.2012,1,9.785714285714286,25.7,-2.3,179.03809523809525,605801,467364
61,4,O.2012,1.2013,1,6.009090909090909,16.7,-4.1,71.05454545454546,605801,467364
62,4,O.2012,2.2012,2,15.237362637362637,35.8,-0.4,241.4296703296703,605801,467364
63,4,O.2012,3.2012,3,20.78666666666667,38.4,8.6,264.22999999999996,605801,467364
64,4,O.2012,4.2012,4,11.325806451612904,34.0,-4.9,104.1,605801,467364
65,4,O.2013,1.2013,1,8.22857142857143,19.4,-2.1,129.73333333333335,605801,467364
66,4,O.2013,1.2014,1,4.67,15.5,-6.2,64.67,605801,467364
67,4,O.2013,2.2013,2,13.062637362637362,32.2,-0.0,226.28351648351648,605801,467364
68,4,O.2013,3.2013,3,18.546666666666667,31.2,7.6,262.0866666666667,605801,467364
69,4,O.2013,4.2013,4,11.476344086021506,31.7,-7.5,107.6774193548387,605801,467364
70,4,O.2014,1.2014,1,10.519047619047619,24.6,-1.2,180.7904761904762,605801,467364
71,4,O.2014,1.2015,1,5.2299999999999995,14.1,-0.9,63.82000000000001,605801,467364
72,4,O.2014,2.2014,2,15.572527472527472,33.6,-2.6,238.4945054945055,605801,467364
73,4,O.2014,3.2014,3,21.2,32.9,9.4,237.39333333333335,605801,467364
74,4,O.2014,4.2014,4,12.916304347826086,33.1,-1.0,102.85760869565217,605801,467364
75,4,O.2015,1.2015,1,9.804761904761905,23.0,-2.0,168.0,605801,467364
76,4,O.2015,1.2016,1,6.1,13.6,-0.0,31.689999999999998,605801,467364
77,4,O.2015,2.2015,2,15.682417582417582,33.6,1.1,259.93626373626375,605801,467364
78,4,O.2015,3.2015,3,20.043333333333333,38.3,5.9,248.85,605801,467364
79,4,O.2015,4.2015,4,11.519354838709678,31.1,-4.8,98.80860215053764,605801,467364
80,4,O.2016,1.2016,1,7.033333333333333,16.7,-0.7,123.62857142857142,605801,467364
81,4,O.2016,1.2017,1,5.2272727272727275,15.7,-1.4,45.46363636363637,605801,467364
82,4,O.2016,2.2016,2,14.52967032967033,32.3,-1.9,218.8758241758242,605801,467364
83,4,O.2016,3.2016,3,21.57,37.4,9.2,238.14333333333335,605801,467364
84,4,O.2016,4.2016,4,11.279569892473118,31.2,-0.9,99.41827956989246,605801,467364
85,4,O.2017,1.2017,1,11.219047619047618,26.4,-0.4,167.25714285714287,605801,467364
86,4,O.2017,1.2018,1,6.18,17.8,-2.9,58.54,605801,467364
87,4,O.2017,2.2017,2,16.174725274725276,37.9,-0.4,250.8197802197802,605801,467364
88,4,O.2017,3.2017,3,18.363333333333333,38.3,4.6,214.55666666666667,605801,467364
89,4,O.2017,4.2017,4,11.348387096774195,36.7,-5.7,114.37956989247311,605801,467364
90,4,O.2018,1.2018,1,8.342857142857142,17.4,-0.3,125.51904761904763,605801,467364
91,4,O.2018,1.2019,1,5.43,16.1,-3.2,65.2,605801,467364
92,4,O.2018,2.2018,2,14.547777777777778,33.9,-0.6,234.10444444444445,605801,467364
93,4,O.2018,3.2018,3,21.64333333333333,34.3,11.7,247.08333333333334,605801,467364
94,4,O.2018,4.2018,4,11.965591397849462,34.1,-1.7,107.60215053763442,605801,467364
95,4,O.2019,1.2019,1,9.795238095238094,23.2,-2.3,180.42857142857142,605801,467364
96,4,O.2019,1.2020,1,4.779999999999999,16.9,-2.7,58.660000000000004,605801,467364
97,4,O.2019,2.2019,2,14.667032967032968,35.9,-3.4,253.29340659340662,605801,467364
98,4,O.2019,3.2019,3,21.56,40.4,6.4,250.50333333333336,605801,467364
99,4,O.2019,4.2019,4,12.006451612903225,29.1,-1.1,106.60645161290323,605801,467364
100,4,O.2020,1.2020,1,10.19047619047619,23.6,-2.1,142.6,605801,467364
101,4,O.2020,1.2021,1,4.927272727272728,11.9,-3.5,58.627272727272725,605801,467364
102,4,O.2020,2.2020,2,15.393406593406594,31.1,-0.1,229.0076923076923,605801,467364
103,4,O.2020,3.2020,3,21.176666666666666,35.1,8.7,251.39333333333335,605801,467364
104,4,O.2020,4.2020,4,10.446428571428571,30.2,-3.9,98.75,605801,467364
105,4,O.2021,1.2021,1,9.028571428571428,19.9,-1.1,144.63809523809525,605801,467364
106,4,O.2021,1.2022,1,7.1,18.1,0.8,46.08,605801,467364
107,4,O.2021,2.2021,2,15.097777777777777,35.0,-2.3,242.46,605801,467364
108,4,O.2021,3.2021,3,20.085714285714285,32.8,9.0,222.70714285714286,605801,467364
109,4,O.2021,4.2021,4,10.539130434782608,26.9,-2.7,100.42826086956521,605801,467364
110,4,O.2022,1.2022,1,9.495238095238095,18.5,-2.1,110.60952380952382,605801,467364
111,4,O.2022,1.2023,1,8.52,18.3,1.2,60.81,605801,467364
