station,season,tav,tmax,tmin,rad
4,1.2000,6.91875,25.7,-7.7,120.32625
4,1.2001,7.7105263157894735,22.5,-5.0,107.10526315789474
4,1.2002,6.680000000000001,28.1,-12.0,93.51222222222222
4,1.2003,7.613580246913581,22.7,-5.5,109.65061728395062
4,1.2004,6.3,22.1,-3.5,98.3215909090909
4,1.2005,4.785057471264368,24.0,-7.2,116.32643678160919
4,1.2006,5.561111111111111,20.8,-7.4,98.47666666666666
4,1.2007,6.696590909090909,25.3,-6.4,106.08977272727272
4,1.2008,6.644444444444445,22.6,-5.4,102.35666666666667
4,1.2009,6.156043956043956,24.5,-4.7,104.98791208791208
4,1.2010,5.998749999999999,23.1,-5.7,94.5125
4,1.2011,5.825555555555555,20.0,-7.7,98.59333333333333
4,1.2012,6.476666666666667,25.7,-7.0,118.21333333333334
4,1.2013,6.636263736263736,19.4,-4.5,95.53076923076922
4,1.2014,7.638888888888889,24.6,-6.2,102.15777777777778
4,1.2015,6.353333333333333,23.0,-6.0,108.56
4,1.2016,7.044444444444444,19.3,-3.2,79.28444444444445
4,1.2017,7.34065934065934,26.4,-7.6,97.98241758241758
4,1.2018,6.4685393258426975,18.5,-5.3,93.45842696629212
4,1.2019,7.11888888888889,23.2,-5.6,117.3688888888889
4,1.2020,7.167777777777778,23.6,-3.7,99.19444444444444
4,1.2021,7.397802197802198,20.2,-6.4,98.06483516483516
4,1.2022,6.897777777777777,20.4,-6.1,98.96333333333334
4,1.2023,6.468888888888889,27.5,-5.7,107.34222222222222
4,1.2024,3.966666666666667,14.5,-5.5,71.0
4,2.2000,14.95934065934066,36.0,-2.7,217.07472527472527
4,2.2001,17.835185185185185,36.1,0.6,279.02777777777777
4,2.2002,15.31868131868132,35.7,-3.3,241.43296703296704
4,2.2003,16.373626373626372,35.2,0.8,251.8758241758242
4,2.2004,14.284615384615385,34.3,0.1,250.82967032967034
4,2.2005,15.996341463414634,35.4,-0.7,247.55731707317074
4,2.2006,16.485714285714288,33.3,1.1,265.2362637362637
4,2.2007,15.857317073170732,33.0,1.3,239.43536585365854
4,2.2008,13.896703296703295,32.1,-1.0,223.07252747252747
4,2.2009,15.515384615384617,36.2,0.6,250.2945054945055
4,2.2010,14.605617977528091,32.4,-2.1,236.09101123595505
4,2.2011,16.35934065934066,33.7,0.8,244.74945054945056
4,2.2012,15.237362637362637,35.8,-0.4,241.4296703296703
4,2.2013,13.062637362637362,32.2,-0.0,226.28351648351648
4,2.2014,15.572527472527472,33.6,-2.6,238.4945054945055
4,2.2015,15.682417582417582,33.6,1.1,259.93626373626375
4,2.2016,14.52967032967033,32.3,-1.9,218.8758241758242
4,2.2017,16.174725274725276,37.9,-0.4,250.8197802197802
4,2.2018,14.547777777777778,33.9,-0.6,234.10444444444445
4,2.2019,14.667032967032968,35.9,-3.4,253.29340659340662
4,2.2020,15.393406593406594,31.1,-0.1,229.0076923076923
4,2.2021,15.097777777777777,35.0,-2.3,242.46
4,2.2022,16.706593406593406,40.6,-2.5,246.94395604395606
4,2.2023,16.53956043956044,36.1,0.4,254.26483516483515
4,3.2000,21.283516483516483,36.5,8.9,263.97362637362636
4,3.2001,20.929545454545455,39.5,2.1,259.67045454545456
4,3.2002,20.00769230769231,37.5,5.8,247.42747252747253
4,3.2003,22.208791208791208,37.5,7.2,274.4054945054945
4,3.2004,21.967045454545453,36.9,6.4,263.3772727272727
4,3.2005,21.645054945054945,38.0,8.6,274.25274725274727
4,3.2006,22.04945054945055,37.8,9.4,267.1857142857143
4,3.2007,20.3978021978022,36.8,6.4,274.54285714285714
4,3.2008,21.043956043956044,37.2,8.5,268.08021978021975
4,3.2009,21.69010989010989,37.2,8.1,278.18131868131866
4,3.2010,21.524050632911393,37.6,5.8,276.5518987341772
4,3.2011,21.724175824175827,36.8,8.8,270.23846153846154
4,3.2012,22.082417582417584,39.2,8.6,287.76153846153846
4,3.2013,21.560439560439562,38.1,7.6,275.1912087912088
4,3.2014,20.96923076923077,36.7,7.5,255.47252747252747
4,3.2015,22.56263736263736,38.8,5.9,271.5769230769231
4,3.2016,22.349450549450548,39.0,9.2,271.7285714285714
4,3.2017,21.45054945054945,38.3,4.6,249.86263736263737
4,3.2018,22.653333333333332,37.3,11.7,273.0688888888889
4,3.2019,22.9021978021978,40.4,6.4,271.74175824175825
4,3.2020,22.273626373626374,38.2,8.7,274.6857142857143
4,3.2021,21.392134831460677,38.5,9.0,261.5494382022472
4,3.2022,23.312087912087915,39.4,7.9,279.9835164835165
4,3.2023,22.955172413793104,39.9,10.4,273.93793103448274
4,4.2000,10.587912087912088,32.1,-4.7,102.34505494505494
4,4.2001,9.96774193548387,37.6,-9.2,107.7989247311828
4,4.2002,11.277011494252873,34.7,-1.5,104.50919540229884
4,4.2003,11.216129032258063,36.7,-1.0,101.07311827956988
4,4.2004,9.190625,28.3,-2.9,82.378125
4,4.2005,10.897802197802198,31.3,-6.9,107.90329670329672
4,4.2006,12.038095238095238,31.7,-5.0,101.23690476190475
4,4.2007,10.520430107526881,27.1,-8.5,121.2989247311828
4,4.2008,10.136559139784946,31.9,-6.0,104.98817204301075
4,4.2009,11.495652173913042,31.0,-7.5,112.02282608695653
4,4.2010,10.14578313253012,28.6,-8.5,111.95903614457832
4,4.2011,13.812676056338029,34.2,-0.8,129.2380281690141
4,4.2012,11.325806451612904,34.0,-4.9,104.1
4,4.2013,11.476344086021506,31.7,-7.5,107.6774193548387
4,4.2014,12.916304347826086,33.1,-1.0,102.85760869565217
4,4.2015,11.519354838709678,31.1,-4.8,98.80860215053764
