0,1,2,3,4,5,6,7,x,y
267,3,'AUTO','Lerín INTIA',28,58,334,417,584109,470620
157,1,'MAN','Lerín MAN',28,60,334,417,584461,470367
158,1,'MAN','Lesaka',41,10,334,417,604260,478912
518,1,'AUTO','Lesaka (Astazelaieta) GN',40,10,334,417,602184,478810
159,1,'MAN','Lesaka-San Anton',38,8,334,417,599262,479229
161,1,'MAN','Lezáun',27,41,334,417,581897,473594
162,1,'MAN','Lodosa',22,63,334,417,575495,469708
163,1,'MAN','Los Arcos',17,54,334,417,566988,471343
424,6,'AUTO','Los Arcos MAPA',17,56,334,417,567066,471018
247,3,'AUTO','Lumbier INTIA',66,47,334,417,641305,472509
229,1,'MAN','Luzaide-Valcarlos',64,19,334,417,638585,477298
174,1,'MAN','Miranda',36,60,334,417,596295,470378
266,6,'AUTO','Miranda de Arga MAPA',37,57,334,417,597859,470722
175,1,'MAN','Monreal',53,45,334,417,622028,472899
176,1,'MAN','Monteagudo',44,93,334,417,608506,464603
456,1,'MAN','Mugiro',33,26,334,417,591077,476041
270,6,'AUTO','Murillo el Fruto MAPA',55,66,334,417,624532,469362
178,1,'MAN','Navascués',75,43,334,417,654163,473115
180,1,'MAN','Noáin MAN',46,41,334,417,611216,473596
183,1,'MAN','Olague',47,28,334,417,613250,475722
257,3,'AUTO','Olite INTIA',45,63,334,417,610025,469769
186,1,'MAN','Olite MAN',46,59,334,417,610487,470497
187,1,'MAN','Olóriz',50,48,334,417,616650,472254
190,1,'MAN','Oroz-Betelu',64,32,334,417,638591,475066
37,1,'AUTO','Oskotz GN',40,28,334,417,601356,475656
191,1,'MAN','Otazu',38,40,334,417,599632,473785
455,1,'AUTO','Pamplona GN',47,37,334,417,611311,474148
196,1,'MAN','Pamplona MAN',46,37,334,417,611310,474148
199,1,'MAN','Puente la Reina',36,47,334,417,596655,472545
271,6,'AUTO','San Adrián MAPA',32,67,334,417,590566,469018
265,6,'AUTO','San Martín de Unx MAPA',48,57,334,417,614036,470766
5,3,'AUTO','Sartaguda  INTIA',24,67,334,417,578128,469040
21,1,'AUTO','Sartaguda GN',24,67,334,417,578056,469075
211,1,'MAN','Sartaguda MAN',24,67,334,417,577899,469075
213,1,'MAN','Sesma MAN',22,60,334,417,575465,470335
423,6,'AUTO','Sesma MAPA',20,60,334,417,571898,470292
215,1,'MAN','Sunbilla',44,15,334,417,607941,477998
9,1,'AUTO','Tafalla GN',44,57,334,417,607987,470844
242,3,'AUTO','Traibuenas INTIA',48,67,334,417,614022,469084
29,1,'AUTO','Trinidad de Iturgoien GN',27,38,334,417,583180,474045
36,1,'AUTO','Tudela (Montes del Cierzo) GN',46,82,334,417,611286,466531
272,6,'AUTO','Tudela (Valdetellas) MAPA',51,86,334,417,618360,465826
219,1,'MAN','Tudela MAN',49,87,334,417,615056,465688
30,1,'AUTO','Ujué GN',54,57,334,417,622324,470765
250,1,'AUTO','Urbasa GN',17,36,334,417,567323,474471
226,1,'MAN','Urzainqui',84,36,334,417,667714,474391
231,1,'MAN','Viana',7,58,334,417,551818,470695
11,1,'AUTO','Villanueva de Yerri GN',29,43,334,417,585907,473194
10,1,'AUTO','Yesa GN',71,50,334,417,648317,471991
236,1,'MAN','Yesa MAN',71,50,334,417,648316,471991
237,1,'MAN','Zalba',56,36,334,417,626707,474353
238,1,'MAN','Zuazu',57,42,334,417,627054,473283
239,1,'MAN','Zubiri',53,30,334,417,621938,475380
240,1,'MAN','Zugarramurdi',50,7,334,417,617700,479419
